date,stock,title,content
2010-10-15,EBAY,Buried in the WSJ story discussing a potential bid for Yahoo (YHOO +0.5%) by a combination of...,"Buried in the WSJ story discussing a potential bid for Yahoo (YHOO +0.5%) by a combination of AOL (AOL
+1.3%) and private equity firms: Alibaba, in which Yahoo holds a 40% stake, last month reportedly âsounded outâ eBayâs (EBAY
+1.7%) interest in a deal for Yahoo - yet another sign that the relationship between Alibaba and Yahoo ""isnât exactly cozy."""
2010-10-16,EBAY,"Get ready as earnings season really takes off next week: Major banks (C, WFC, BAC), from whom...","Get ready as earnings season really takes off next week: Major banks (C, WFC, BAC), from whom analysts expect improvement; somewhat worse results expected from I-banks (GS, MS) on low trading activity; a rash of big pharma; AT&T (NYSE:T) and Verizon (NYSE:VZ); airlines; and on Monday Apple (NASDAQ:AAPL) leads off big tech results, which include IBM, AMZN, EBAY and YHOO."
2010-10-16,EBAY,Leveraged buyouts are experiencing a resurgence as cash-rich P-E firms hunt for investments....,"Leveraged buyouts are experiencing a resurgence as cash-rich P-E firms hunt for investments. Barron's picked its top dozen LBO candidates, looking at firms with modest debt that trade for reasonable multiples of earnings and pretax cash flow. The targeted twelve: EBAY, DELL-OLD, YHOO, GPS, FIS, SWY, CSC, WDC, WHR, STX, GME, ARO."
2010-10-20,EBAY,"Notable earnings after Wednesday's close: AMLN, ETFC, EBAY, ESV, FNF, ISIL, LRCX, NFLX, NFX, NE,...","Notable earnings after Wednesday's close:  AMLN, ETFC,  EBAY, ESV,  FNF, ISIL,  LRCX, NFLX,  NFX, NE,  RHI, STX,  TEX,  TSS, XLNX"
2010-10-20,EBAY,eBay (NASDAQ:EBAY): Q3 EPS of $0.40 beats by $0.03. Revenue of $2.25B vs. $2.18B. Sees Q4 EPS of...,eBay (NASDAQ:EBAY): Q3 EPS of $0.40 beats by $0.03. Revenue of $2.25B  vs. $2.18B. Sees Q4 EPS of $0.45-0.48 vs. $0.44. Shares +5.8% AH. (PR)
2010-10-21,EBAY,Premarket gainers: WSTL +20%. XING +14%. NFLX +11%. PTEC +9%. EBAY +8%. MNTA +7%. ABK +6%. ALXN...,"Premarket gainers: WSTL
+20%. XING +14%. NFLX
+11%. PTEC
+9%. EBAY
+8%. MNTA
+7%. ABK +6%. ALXN
+5%. CTIC
+5%. IRE
+4%. AVII
+4%. NOK
+4%.Losers: CRME -25%. CRUS
-12%. PLCE
-12%. SHZ
-8%. MLNX
-5%. ADS
-5%. REE
-4%. CYS
-4%."
2010-11-03,EBAY,Anybody need an experienced CEO? High-profile former Silicon Valley CEOs Meg Whitman...,Anybody need an experienced CEO? High-profile former Silicon Valley CEOs Meg Whitman (NASDAQ:EBAY) and Carly Fiorina (NYSE:HPQ) were defeated last night in their first foray into politics. The score for political candidates who had careers or ties to Wall Street was mixed at best.
2010-11-15,EBAY,Sources claim Google (NASDAQ:GOOG) is moving into the online fashion retail market. Its new...,"Sources claim Google (NASDAQ:GOOG) is moving into the online fashion retail market. Its new boutique site allegedly will include designer and retailer items, as well as wares from celebrities and ""other influencers."" Such a move would pit it directly against eBay (NASDAQ:EBAY), which already has a strong fashion presence, including an iPhone (NASDAQ:AAPL) shopping app."
2010-11-24,EBAY,"With e-commerce spending expected to rise 11% this holiday season, investors are giving Amazon...","With e-commerce spending expected to rise 11% this holiday season, investors are giving Amazon (NASDAQ:AMZN) a vote of confidence and a hefty bounce ahead of Black Friday. Shares +4.9%. Other retail gainers: EBAY
+2.7%. OSTK
+4.4%. TGT
+3%."
2010-11-29,EBAY,"In-store retail spending rose only 0.3% on Black Friday, but e-commerce sales jumped 28%,...","In-store retail spending rose only 0.3% on Black Friday, but e-commerce sales jumped 28%, putting e-retailers in high spirits ahead of today's Cyber Monday sales. Stocks like Amazon (AMZN
+0.6%) and eBay (EBAY
-0.45%) may post some notable share movement today."
2010-11-29,EBAY,"Despite the strong Cyber Monday indicators, analysts offer a mixed bag on eBay (NASDAQ:EBAY)....","Despite the strong Cyber Monday indicators, analysts offer a mixed bag on eBay (NASDAQ:EBAY). Pessimist Stifel Nicolaus changed its rating to Hold from Buy, seeing Amazon (NASDAQ:AMZN) and other rivals crowding eBay out and PayPal hurting its profit margin. eBay is -1.6% to $30.63."
2010-11-29,EBAY,"Comcast (NASDAQ:CMCSA) is near the end of its journey to acquire 51% of NBC Universal (NYSE:GE),...","Comcast (NASDAQ:CMCSA) is near the end of its journey to acquire 51% of NBC Universal (NYSE:GE), but opposition is still gathering, with NetCoalition (representing a swath of Web players including Google (NASDAQ:GOOG), Yahoo (YHOO), eBay (NASDAQ:EBAY), Amazon.com (NASDAQ:AMZN) and others) joining a few dozen other groups trying to turn up the heat on the deal."
2010-11-29,EBAY,Rapidly expanding PayPal (NASDAQ:EBAY) currently represents 37% of struggling eBay's overall...,"Rapidly expanding PayPal (NASDAQ:EBAY) currently represents 37% of struggling eBay's overall revenue, and in 2014 may surpass its parent. PayPal president Scott Thompson even tells his eBay bosses he genuinely hopes 'we never get bigger than you.' That may be a tough promise to keep, as the unit is poised to ride the mobile payments wave."
2010-11-30,EBAY,"Early estimates indicate overall sales gains of nearly 20% Y/Y for Cyber Monday, driven by...","Early estimates indicate overall sales gains of nearly 20% Y/Y for Cyber Monday, driven by discounts of as much as 60% on sites such as Toysrus.com and extensive free shipping offers. For Thanksgiving Day and Black Friday, comScore says online shoppers spent $1.1B, up 15% from $913M a year earlier. AMZN
-1.6%, EBAY
-4.1%."
2010-12-01,EBAY,Ailing eBay (EBAY +0.6%) saw its Cyber Monday mobile sales jump 146% from 2009. The company's...,"Ailing eBay (EBAY
+0.6%) saw its Cyber Monday mobile sales jump 146% from 2009. The company's mobile operation will garner $1.5B in 2010 in gross volume, up from 2009's $600M. More than half of customers who phone-shop are okay with spending more than $100 per purchase, eBay claims. (PR)"
2010-12-03,EBAY,"Premarket, Local.com (NASDAQ:LOCM) is +7.7% after Amazon (NASDAQ:AMZN) says it will pump $175M...","Premarket, Local.com (NASDAQ:LOCM) is +7.7% after Amazon (NASDAQ:AMZN) says it will pump $175M in online coupon company LivingSocial, with a possible merger down the line. 'Local mania' led eBay (NASDAQ:EBAY) to buy shopping site Milo.com, and Google (NASDAQ:GOOG) to bid on Groupon."
2010-12-04,EBAY,"PayPal (NASDAQ:EBAY) joins Amazon (NASDAQ:AMZN) in cutting ties with WikiLeaks, saying the...","PayPal (NASDAQ:EBAY) joins Amazon (NASDAQ:AMZN) in cutting ties with WikiLeaks, saying the whistle-blowing website violated its acceptable use policy. Lawmakers have been putting pressure on web companies to make a clean break from WikiLeaks after the site's recent, embarrassing data dump of classified diplomatic cables."
2010-12-09,EBAY,PayPal (NASDAQ:EBAY) is on guard against hackers looking to crash its site after it cut ties...,"PayPal (NASDAQ:EBAY) is on guard against hackers looking to crash its site after it cut ties with WikiLeaks. On Wednesday, hackers hit Visa (NYSE:V) and MasterCard (NYSE:MA), then unsuccessfully tried to bring Amazon (NASDAQ:AMZN) down on Thursday. After they reportedly threatened PayPal, the company said it will more closely screen new developers."
2010-12-13,EBAY,"Noting the WikiLeaks hackers' limited success so far in crashing sites, investors should ""buy...","Noting the WikiLeaks hackers' limited success so far in crashing sites, investors should ""buy every dip"" on Amazon (NASDAQ:AMZN) and eBay (NASDAQ:EBAY) that's based on any resurgent attack rumors, says Formula Capital. It also recommends Cisco (NASDAQ:CSCO), given it offers technology to fight these denial of services assaults."
2010-12-15,EBAY,"Acknowledging how critical mobile sales are becoming, struggling eBay (NASDAQ:EBAY) acquires...","Acknowledging how critical mobile sales are becoming, struggling eBay (NASDAQ:EBAY) acquires mobile apps development firm Critical Path Software, for an undisclosed sum. Critical Path has already built several eBay iPhone (NASDAQ:AAPL) applications. eBay is -1.6%. (PR)"
2010-12-17,EBAY,"Cash-killing online payment system Dwolla is aiming squarely at PayPal (EBAY -1.2%), perhaps the...","Cash-killing online payment system Dwolla is aiming squarely at PayPal (EBAY
-1.2%), perhaps the one eBay business that's actually thriving. Undercutting PayPal's fees, Dwolla charges a flat 25 cents per transaction, and has a mobile app and social network capabilities. At the least, Dwolla's presence shows PayPal's vulnerability to contenders."
2010-12-18,EBAY,"Bank of America (NYSE:BAC) joins PayPal (NASDAQ:EBAY), MasterCard (NYSE:MA) and others in...","Bank of America (NYSE:BAC) joins PayPal (NASDAQ:EBAY), MasterCard (NYSE:MA) and others in cutting ties with WikiLeaks. The decision may open BofA's site up to attack from pro-WikiLeaks hackers, but may also be a defensive move as many believe WikiLeaks is planning a major data dump that will embarrass BofA."
2010-12-20,EBAY,"eBay (NASDAQ:EBAY) is acquiring brands4friends, a Berlin online shopping club, for $200M cash....","eBay (NASDAQ:EBAY) is acquiring brands4friends, a Berlin online shopping club, for $200M cash. This move is intended to strengthen eBay's position as an ""online fashion destination in Europe."" Premarket, eBay is +0.2%. (PR)"
2010-12-22,EBAY,Morgan Stanley issues a short-term Buy recommendation for eBay (EBAY +0.2%). Company shares have...,"Morgan Stanley issues a short-term Buy recommendation for eBay (EBAY
+0.2%). Company shares have been over-sold because of concerns about how new debit card fee rules will affect eBay's crucial PayPal unit. But ""eBayâs turnaround is on track."""
2010-12-23,EBAY,"Looking to potentially IPO next year, Skype is suffering a black eye as it struggles to fix a...","Looking to potentially IPO next year, Skype is suffering a black eye as it struggles to fix a major service outage that began yesterday. Skype attributes this failure to the crash of several of its 'supernodes.' Currently, eBay (EBAY
-0.4%) owns a 30% stake in the company."
2010-12-27,EBAY,"Gradient Enterprises, called by some an ""obnoxious patent troll,"" is suing Skype (NASDAQ:EBAY)...","Gradient Enterprises, called by some an ""obnoxious patent troll,"" is suing Skype (NASDAQ:EBAY) for patent infringement around some network monitoring and security technologies. Ironically, Skype just suffered a major service outage that affected millions of its users."
2010-12-29,EBAY,PayPal (NASDAQ:EBAY) will set up shop in China to boost cross-border trade. The company expects...,"PayPal (NASDAQ:EBAY) will set up shop in China to boost cross-border trade. The company expects its Chinese transaction volume to rise over 80% to $4B this year. Premarket, eBay is flat."
2010-12-29,EBAY,Skype (NASDAQ:EBAY) comes clean on last week's eye-blackening service outage. A bug in a version...,Skype (NASDAQ:EBAY) comes clean on last week's eye-blackening service outage. A bug in a version of a Skype Windows (NASDAQ:MSFT) client that 50% of users run resulted in a failure for 40% of these subscribers. Skype will do some software and process soul searching to avoid future disaster.
2010-12-29,EBAY,Ailing eBay (NASDAQ:EBAY) saw global mobile sales rise to $230M in the 2010 holiday shopping...,"Ailing eBay (NASDAQ:EBAY) saw global mobile sales rise to $230M in the 2010 holiday shopping season, up 166% from the same period in 2009. And U.S. mobile sales surged 134% over the same period last year, generating nearly $100M. eBay is  -0.6%."
2010-12-30,EBAY,Skype (NASDAQ:EBAY) offers a video-calling app for the iPhone (NASDAQ:AAPL) and other Apple...,"Skype (NASDAQ:EBAY) offers a video-calling app for the iPhone (NASDAQ:AAPL) and other Apple devices. Given Skype's scale, this could worsen mobile network bottlenecks, and renew calls from European telecoms to make the web services companies contribute cash to infrastructure upgrades."
2010-12-30,EBAY,Skype (NASDAQ:EBAY) and other 'net phone services are in the Chinese government's crosshairs for...,"Skype (NASDAQ:EBAY) and other 'net phone services are in the Chinese government's crosshairs for undercutting state-owned carriers. Chinese officials say they're targeting ""illegal internet phone services."" Maybe Skype and its peers should take this as a warning and put the brakes on expansion."
2010-12-31,EBAY,"Skype (NASDAQ:EBAY) says its Chinese service is still running, despite the government's threats...","Skype (NASDAQ:EBAY) says its Chinese service is still running, despite the government's threats to crack down on ""illegal"" web phone companies. The government hasn't said what action it will take against guilty firms. But this could boost locals like China Mobile (NYSE:CHL)."
2011-01-04,EBAY,Skype's (EBAY -0.1%) Chinese partner TOM Group says its joint calling service is perfectly...,"Skype's (EBAY
-0.1%) Chinese partner TOM Group says its joint calling service is perfectly legal, even as the government cracks down on illicit web phone service providers. Certainly, it would hurt Skype's future IPO to be barred from the world's largest internet market. Right now, it's ""business as usual,"" claims TOM."
2011-01-10,EBAY,Given eBay's (EBAY +2.1%) $2B in mobile transactions in 2010 - up from $600M in 2009 - the firm...,"Given eBay's (EBAY
+2.1%) $2B in mobile transactions in 2010 - up from $600M in 2009 - the firm is now the ""leader in mobile ecommerce,"" says BGC Partners, which upgraded it to Buy from Hold. BGC also notes eBay crown jewel PayPal saw a 300% jump in mobile payment volume on Black Friday last year."
2011-01-19,EBAY,eBay (EBAY -0.8%) cash cow PayPal faces a potential move by the Federal Reserve to impose a cap...,"eBay (EBAY
-0.8%) cash cow PayPal faces a potential move by the Federal Reserve to impose a cap on debit-card transaction fees. If the Fed proceeds to limit the fees to from 7 cents to 12 cents for each transaction, it would jeopardize most of PayPal's U.S. revenues. But PayPal says it's confident it ""wonât be regulated."""
2011-01-19,EBAY,"Notable earnings after Wednesday's close: EBAY, FFIV, SLM, STX, XLNX","Notable earnings after Wednesday's close:  EBAY, FFIV, SLM,  STX, XLNX"
2011-01-19,EBAY,eBay (NASDAQ:EBAY): Q4 EPS of $0.52 beats by $0.05. Revenue of $2.5B (+5% Y/Y) in-line. Shares...,eBay (NASDAQ:EBAY): Q4 EPS of $0.52 beats by $0.05. Revenue of $2.5B (+5% Y/Y) in-line. Shares +5.6% AH. (PR)
2011-01-20,EBAY,Struggling eBay's (NASDAQ:EBAY) strong Q4 and bullish 2011 outlook indicate the company's 3-year...,"Struggling eBay's (NASDAQ:EBAY) strong Q4 and bullish 2011 outlook indicate the company's 3-year turnaround strategy for its marketplace business may be paying off. ""We were waiting for the turn and the turn has happened,"" says BGC Partners. Premarket, eBay is  +2.9%."
2011-01-20,EBAY,"Four directors are leaving the Hewlett-Packard (NYSE:HPQ) board, part of an expected shakeup...","Four directors are leaving the Hewlett-Packard (NYSE:HPQ) board, part of an expected shakeup designed to purge directors loyal to former chief Mark Hurd. Former EBAY CEO Meg Whitman joins the board."
2011-01-20,EBAY,"eBay's (EBAY +4.9%) strong Q4 draws mixed reactions from analysts, with some claiming its...","eBay's (EBAY
+4.9%) strong Q4 draws mixed reactions from analysts, with some claiming its numbers are due mostly to the PayPal unit and a lower tax rate. Deutsche Bank ""believes that little has changed for the company's competitive positioning or core marketplace business trends."" But BGC Capital also says there might be a Skype IPO in 2011."
2011-01-25,EBAY,Sources claim the iPhone (AAPL -0.2%) and iPad will get a 'near-field communication' boost to...,"Sources claim the iPhone (AAPL
-0.2%) and iPad will get a 'near-field communication' boost to let customers make mobile purchases. This is a no-brainer, given the boom in mobile transactions. It could also cut out middlemen like PayPal (NASDAQ:EBAY) and lower Apple's transaction costs."
2011-01-26,EBAY,Sources say web phone company Skype (NASDAQ:EBAY) won't hold its planned IPO until the second...,"Sources say web phone company Skype (NASDAQ:EBAY) won't hold its planned IPO until the second half of 2011, later than some investors expected. The uncertainties around the IPO market and economy, and the advent of a new CEO, Tony Bates, are the reasons. But Skype may be blowing its best IPO opportunity."
2011-02-11,EBAY,"eBay (NASDAQ:EBAY) outlined a new three-year strategy yesterday, and projected revenue would...","eBay (NASDAQ:EBAY) outlined a new three-year strategy yesterday, and projected revenue would rise to $13B-15B in 2013 from $9.2B in 2010. PayPal will be driving much of the growth, and could displace eBay's core marketplace unit as the company's biggest business in 3-5 years."
2011-03-17,EBAY,Visa (NYSE:V) is partnering with Fiserv (NASDAQ:FISV) and CashEdge to offer a service allowing...,"Visa (NYSE:V) is partnering with Fiserv (NASDAQ:FISV) and CashEdge to offer a service allowing consumers to pay each other directly using their Visa cards, and to send money via a mobile phone number or e-mail address. With 1.85B Visa cards in circulation, this could pose a substantial threat to PayPal (NASDAQ:EBAY)."
2011-03-17,EBAY,The annual list of the so-called World Most Ethical Companies - 110 in all - includes first-time...,"The annual list of the so-called World Most Ethical Companies - 110 in all - includes first-time recipients Microsoft (NASDAQ:MSFT), eBay (NASDAQ:EBAY), Colgate-Palmolive (NYSE:CL) and Adidas (OTCQX:ADDDF). Target (NYSE:TGT) is a repeat winner, but Lady Gaga is unmoved."
2011-03-28,EBAY,eBay (EBAY -2.1%) says it will purchase e-commerce and marketing services provider GSI Commerce...,"eBay (EBAY
-2.1%) says it will purchase e-commerce and marketing services provider GSI Commerce (NASDAQ:GSIC) for $29.25/share, or $2.4B, in cash, a 51% premium to GSIâs Friday closing price. GSI may solicit acquisition proposals from third parties for a 40-day ""go-shop"" period continuing through May 6. GSIC shares halted; trading to resume at approx. 10:35. (PR)"
2011-03-28,EBAY,"eBay's deal (EBAY -4.3%) to acquire GSI Commerce (GSIC +50.7%), with its back-end services and...","eBay's deal (EBAY
-4.3%) to acquire GSI Commerce (GSIC
+50.7%), with its back-end services and internet shopping operations for more than 100 retailers, is a bid to bring its legions of sellers more closely into the fold and offer them an expanding menu of services - and a challenge to Amazon (NASDAQ:AMZN). ""This is a big hole strategically that eBay is trying to plug,"" Stifel Nicolaus says."
2011-03-29,EBAY,Shares of GSI Commerce (GSIC -0.1%) pull back a day after eBay's (EBAY +2.3%) announced $2.4B...,"Shares of GSI Commerce (GSIC
-0.1%) pull back a day after eBay's (EBAY
+2.3%) announced $2.4B purchase, but Needham's Mark May urges holders not to sell. While thereâs little risk the deal doesnât get done, there's the prospect of a higher bid - even if the probability is less than 50%. He also notes 10M GSIC shares sold short, ""which should create upward price pressure.â"
2011-04-27,EBAY,"Notable earnings after Wednesday's close: AFL, AKAM, ALL, ARRS, BDN, BIDU, CCI, CDNS, COG, CTXS,...","Notable earnings after Wednesday's close: AFL, AKAM, ALL, ARRS, BDN, BIDU, CCI, CDNS, COG, CTXS, CYH, DDR, DRE, EBAY, EQIX, EQR, EXXI, FLEX, FTNT, GMCR, ICO, IDCC, ISIL, LNC, LOGI, LSI-OLD, NKTR, NSC, NVLS-OLD, OI, ORLY, PMTC, QGEN, SBUX, SCI, TER, TLCR, TQNT, VAR, WLL,XLNX."
2011-04-27,EBAY,eBay (NASDAQ:EBAY): Q1 EPS of $0.47 beats by $0.01. Revenue of $2.54B (+16% Y/Y) in-line....,eBay (NASDAQ:EBAY): Q1 EPS of $0.47 beats by $0.01. Revenue of $2.54B (+16% Y/Y) in-line.  Shares -2.6% AH. (PR)
2011-05-09,EBAY,An agreement for Microsoft (NASDAQ:MSFT) to buy Internet phone company Skype for $7-$8B could be...,"An agreement for Microsoft (NASDAQ:MSFT) to buy Internet phone company Skype for $7-$8B could be announced as early as Tuesday, according to sources. It was less than 2 years ago that EBAY sold most of its stake in Skype in a deal that valued the company at $2.75B."
